ID,Clee,NUE,RS,NCA,NPO,E,EP,TAH,NAH,L,TE,LAT,LON,FiDENUE
3023858,19046812110005171000000000U1,ESTETICA AIDEE,0,15,1,0,0,COLONIA,EL REFUGIO,San Nicolás de los Garza,Fijo,25.75662233,-100.2659414,2010-07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3026456,19046812110005871000000000U6,ESTETICA ALEJANDRA,0,15,1,0,0,COLONIA,PASEO DEL NOGALAR,San Nicolás de los Garza,Fijo,25.72500191,-100.2734545,2010-07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3035774,19046812110006341000000000U9,ESTETICA ALHELI,0,15,1,0,0,COLONIA,AZTECA,San Nicolás de los Garza,Fijo,25.72032459,-100.2680267,2010-07
,,,,,,,,,,,,,,
2937305,19046812110005011000000000U9,ESTETICA ALICIA,0,15,1,0,0,COLONIA,ITURBIDE,San Nicolás de los Garza,Fijo,25.75301955,-100.2998454,2010-07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7334997,19046812110019291000000000U1,ESTETICA AMBAR HAIR STUDIO,0,15,1,0,0,COLONIA,LAS PUENTES,San Nicolás de los Garza,Fijo,25.74419582,-100.2881995,2019-11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2977787,19046812110013741000000000U1,ESTETICA ANDREA,0,15,1,0,0,COLONIA,PASEO DEL NOGALAR FOME11,San Nicolás de los Garza,Fijo,25.72385929,-100.2706445,2014-12
3025148,19046812110001761000000000U3,ESTETICA ANDREA,0,15,1,0,0,COLONIA,RESIDENCIAL ROBLE 5TO. SECTOR,San Nicolás de los Garza,Fijo,25.75981908,-100.2746447,2010-07
,,,,,,,,,,,,,,
3035685,19046812110007861000000000U5,ESTETICA ANDREA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO,San Nicolás de los Garza,Fijo,25.71935638,-100.2531173,2010-07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8633190,19046812110018561000000000U8,ESTETICA ANGEL DE LUNA,0,15,1,0,0,COLONIA,VICENTE GUERRERO,San Nicolás de los Garza,Fijo,25.75674499,-100.2534438,2019-11
,,,,,,,,,,,,,,
8633250,19046812110018641000000000U8,ESTETICA ANGELA ROMERO,0,15,1,0,0,COLONIA,LAS PUENTES TERCER SECTOR,San Nicolás de los Garza,Fijo,25.74193457,-100.2811306,2019-11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2974513,19046812110011881000000000U7,ESTETÍCA ANGY,0,15,1,0,0,COLONIA,EL MIRADOR DE SAN NICOLAS (FOMERREY 129),San Nicolás de los Garza,Fijo,25.76175373,-100.3209063,2014-12
